model,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
LogisticRegression,0.9780219780219781,0.009828870230768321,0.9794715236366779,0.01622860446208697,0.9859649122807017,0.013128622409733132,0.9825442464894886,0.007752336477690741,0.9958720330237357,0.004960006126191094
SVC,0.9692307692307693,0.014578570507056717,0.9727504105090311,0.022525306483815913,0.9789473684210526,0.01312862240973312,0.9756153066291582,0.011252295383339678,0.9955624355005159,0.004758366102538106
RandomForestClassifier,0.9626373626373628,0.01785502946073838,0.9721943573667712,0.017182458455308733,0.9684210526315787,0.025784102555612396,0.9700273492058795,0.014628160171135949,0.9895768833849328,0.008736344989498502
KNeighborsClassifier,0.9626373626373625,0.020381579110979577,0.9562357633551739,0.021743745916935026,0.9859649122807017,0.02045948033279055,0.9706653395273956,0.01594403244814712,0.9885964912280703,0.008370273762057642
DecisionTreeClassifier,0.9230769230769231,0.012037858406706946,0.9572499827216807,0.021447358137056467,0.9192982456140351,0.03058876451607489,0.9372496847239074,0.010508255192170909,0.9344169246646027,0.01566742254278679
DummyClassifier,0.6263736263736264,0.0,0.6263736263736264,0.0,1.0,0.0,0.7702702702702703,0.0,0.5,0.0
